mk_singkat,nama_lengkap,program_studi,dosen_koor
ALPRO 1,ALGORITMA DAN PEMROGRAMAN 1,IF,MIU
ALPRO 2,ALGORITMA DAN PEMROGRAMAN 2,IF,LDS
JARKOM,JARINGAN KOMPUTER,IF,FAZ
DKA,DASAR KECERDASAN ARTIFISIAL,IF,SAR
PBO,PEMROGRAMAN BERORIENTASI OBJEK,IF,MTD
ALPRO 2,ALGORITMA DAN PEMROGRAMAN 2,IF-PJJ,
DKA,DASAR KECERDASAN ARTIFISIAL,IF-PJJ,
JARKOM,JARINGAN KOMPUTER,IF-PJJ,
PBO,PEMROGRAMAN BERORIENTASI OBJEK,IF-PJJ,SMS
DPBO,DASAR PEMROGRAMAN BERORIENTASI OBJEK ,SE,ZHH
ALPRO SE,ALGORITMA PEMROGRAMAN,SE,IGR
BASDAT,BASIS DATA,SE,JYN
KPL,KONSTRUKSI PERANGKAT LUNAK,SE,FDF
STD,STRUKTUR DATA,SE,FLN
PPL,PENGUJIAN PERANGKAT LUNAK,SE,RSC
SISOP,SISTEM OPERASI,SE,NGS
ALPRO 2,ALGORITMA PEMROGRAMAN,IT,MIU
JARKOM,JARINGAN KOMPUTER,IT,SBG
SISOP,SISTEM OPERASI,IT,IDV
ALPRO 2,ALGORITMA PEMROGRAMAN,DS,ZHH
SISOP,SISTEM OPERASI,DS,NGS
