kelas,hari,sesi,jam,ruangan,total_asprak,dosen,nama_singkat
SE-47-02,SELASA,4.0,15:30,TULT 0617,,RSC,PPL
SE-47-03,RABU,3.0,12:30,TULT 0617,,RSC,PPL
SE-47-04,SABTU,2.0,10:30,TULT 0617,,FVE,PPL
DS-48-01,SENIN,4.0,15:30,TULT 0713,,NGS,SISOP
DS-48-02,SENIN,4.0,15:30,TULT 0618,,QOR,SISOP
DS-48-03,RABU,4.0,15:30,TULT 0705,,QOR,SISOP
IT-48-01,SABTU,1.0,07:30,TULT 0605,,SUMA DANU,SISOP
IT-48-02,KAMIS,2.0,09:30,TULT 0605,,END,SISOP
IT-48-03,SELASA,4.0,15:30,TULT 0604,,SUMA DANU,SISOP
IT-48-04,RABU,1.0,06:30,TULT 0712,,IDV,SISOP
IT-48-05,SABTU,4.0,16:30,TULT 0704,,IDV,SISOP
SE-47-01,SELASA,4.0,15:30,TULT 0605,,QOR,SISOP
SE-47-02,KAMIS,4.0,15:30,TULT 0604,,QOR,SISOP
SE-47-03,SENIN,1.0,06:30,TULT 0604,,QOR,SISOP
SE-47-04,RABU,4.0,15:30,TULT 0604,,NGS,SISOP
IF-49-01PJJ,SABTU,,07:30,TULT 0604,,HMT,ALPRO 2
IF-49-02PJJ,SABTU,,18:30,TULT 0713,,HMT,ALPRO 2
IF-49-03PJJ,SABTU,,07:30,TULT 0617,,ABK,ALPRO 2
IF-48-01PJJ,SABTU,,16:30,TULT 0604,,LZD,DKA
IF-48-02PJJ,SABTU,,10:30,TULT 0604,,BINTANG,DKA
IF-48-03PJJ,SABTU,,07:30,TULT 0705,,IZA,DKA
IF-48-02PJJ,SABTU,,07:30,TULT 0618,,NIK,JARKOM
IF-48-01PJJ,SABTU,,18:30,TULT 0605,,EMJ,JARKOM
IF-48-03PJJ,SABTU,,18:30,TULT 0617,,DVI,JARKOM
IF-48-01PJJ,SABTU,,07:30,TULT 0704,,SMS,PBO
IF-48-02PJJ,SABTU,,16:30,TULT 0618,,SMS,PBO
IF-48-03PJJ,SABTU,,13:30,TULT 0712,,NTT,PBO
