kelas,hari,sesi,jam,ruangan,total_asprak,dosen,nama_singkat
IF-49-01,SABTU,4.0,16:30,TULT 0617,,PEY,ALPRO 2
IF-49-02,SABTU,3.0,13:30,TULT 0705,,PEY,ALPRO 2
IF-49-03,RABU,1.0,06:30,TULT 0713,,BMG,ALPRO 2
IF-49-04,RABU,2.0,09:30,TULT 0712,,FAQ,ALPRO 2
IF-49-05,KAMIS,2.0,09:30,TULT 0713,,UAI,ALPRO 2
IF-49-06,JUMAT,1.0,07:30,TULT 0618,,LDS,ALPRO 2
IF-49-07,KAMIS,3.0,12:30,TULT 0617,,LDS,ALPRO 2
IF-49-08,KAMIS,1.0,06:30,TULT 0604,,FZD,ALPRO 2
IF-49-09,JUMAT,1.0,07:30,TULT 0713,,FZD,ALPRO 2
IF-49-10,RABU,3.0,12:30,TULT 0618,,IGR,ALPRO 2
IF-49-11,SABTU,3.0,13:30,TULT 0704,,MIU,ALPRO 2
IF-49-12,KAMIS,3.0,12:30,TULT 0713,,FFS,ALPRO 2
IF-49-INT,SELASA,1.0,06:30,TULT 0617,,JMT,ALPRO 2
DS-49-01,SENIN,3.0,12:30,TULT 0618,,ZHH,ALPRO 2
DS-49-02,SELASA,3.0,12:30,TULT 0617,,FAQ,ALPRO 2
DS-49-03,SENIN,3.0,12:30,TULT 0617,,GHINA,ALPRO 2
IT-49-01,SABTU,1.0,07:30,TULT 0713,,MIU,ALPRO 2
IT-49-02,KAMIS,4.0,15:30,TULT 0712,,ZHH,ALPRO 2
IT-49-03,SABTU,4.0,16:30,TULT 0712,,PRAZNA,ALPRO 2
IT-49-04,RABU,4.0,15:30,TULT 0713,,EEW,ALPRO 2
IT-49-05,JUMAT,3.0,13:30,TULT 0713,,EEW,ALPRO 2
IT-49-INT,KAMIS,2.0,09:30,TULT 0618,,OAS,ALPRO 2
IF-48-GABREM,SABTU,4.0,16:30,TULT 0604,,MIU,ALPRO 1
SE-49-GABREM,SABTU,1.0,07:30,TULT 0704,,IGR,ALPRO SE
SE-48-GABREM,SABTU,2.0,10:30,TULT 0705,,FLN,STD
SE-48-01,SELASA,1.0,06:30,TULT 0604,,JYN,BASDAT
SE-48-02,KAMIS,4.0,15:30,TULT 0605,,UII,BASDAT
SE-48-03,RABU,2.0,09:30,TULT 0605,,JYN,BASDAT
SE-48-04,SABTU,1.0,07:30,TULT 0604,,JYN,BASDAT
IF-48-01,SABTU,2.0,10:30,TULT 0605,,ANM,DKA
IF-48-02,JUMAT,3.0,13:30,TULT 0604,,PRAZNA,DKA
IF-48-03,JUMAT,3.0,13:30,TULT 0617,,BVM,DKA
IF-48-04,SELASA,1.0,06:30,TULT 0712,,ANM,DKA
IF-48-05,RABU,2.0,09:30,TULT 0618,,SAR,DKA
IF-48-06,KAMIS,1.0,06:30,TULT 0618,,SAR,DKA
IF-48-07,SABTU,3.0,13:30,TULT 0605,,BVM,DKA
IF-48-08,SABTU,2.0,10:30,TULT 0604,,SFY,DKA
IF-48-09,SELASA,2.0,09:30,TULT 0617,,BMG,DKA
IF-48-10,KAMIS,4.0,15:30,TULT 0618,,DTO,DKA
IF-48-11,SELASA,1.0,06:30,TULT 0605,,BMG,DKA
IF-48-12,KAMIS,4.0,15:30,TULT 0617,,KMM,DKA
IF-48-INT,SELASA,4.0,15:30,TULT 0618,,EDF,DKA
SE-49-01,KAMIS,1.0,06:30,TULT 0704,,MIU,DPBO
SE-49-02,SABTU,4.0,16:30,TULT 0705,,IGR,DPBO
SE-49-03,KAMIS,2.0,09:30,TULT 0712,,FZD,DPBO
SE-49-04,RABU,4.0,15:30,TULT 0704,,ZHH,DPBO
IF-48-01,RABU,3.0,12:30,TULT 0713,,FAZ,JARKOM
IF-48-02,RABU,4.0,15:30,TULT 0605,,SMD,JARKOM
IF-48-03,KAMIS,1.0,06:30,TULT 0617,,SMD,JARKOM
IF-48-04,KAMIS,3.0,12:30,TULT 0618,,FAZ,JARKOM
IF-48-05,RABU,3.0,12:30,TULT 0605,,TAUFAN,JARKOM
IF-48-06,KAMIS,4.0,15:30,TULT 0704,,ISB,JARKOM
IF-48-07,JUMAT,3.0,13:30,TULT 0704,,ISB,JARKOM
IF-48-08,SABTU,3.0,13:30,TULT 0712,,ISB,JARKOM
IF-48-09,SABTU,1.0,07:30,TULT 0705,,ISB,JARKOM
IF-48-10,KAMIS,1.0,06:30,TULT 0712,,GFR,JARKOM
IF-48-11,JUMAT,3.0,13:30,TULT 0705,,WAHIDIN,JARKOM
IF-48-12,SELASA,2.0,09:30,TULT 0713,,TAUFAN,JARKOM
IF-48-INT,SELASA,3.0,12:30,TULT 0618,,FFT,JARKOM
IT-48-01,SELASA,2.0,09:30,TULT 0605,,HEL,JARKOM
IT-48-02,SELASA,4.0,15:30,TULT 0712,,RLG,JARKOM
IT-48-03,SELASA,3.0,12:30,TULT 0705,,VRA,JARKOM
IT-48-04,SABTU,4.0,16:30,TULT 0713,,TAUFAN,JARKOM
IT-48-05,SELASA,1.0,06:30,TULT 0704,,SBG,JARKOM
SE-48-01,SABTU,3.0,13:30,TULT 0618,,HPY,KPL
SE-48-02,SELASA,1.0,06:30,TULT 0618,,FDF,KPL
SE-48-03,SABTU,1.0,07:30,TULT 0618,,FLN,KPL
SE-48-04,RABU,1.0,06:30,TULT 0618,,TRK,KPL
IF-48-01,KAMIS,2.0,09:30,TULT 0704,,ASA,PBO
IF-48-02,SELASA,4.0,15:30,TULT 0713,,ASA,PBO
IF-48-03,RABU,1.0,06:30,TULT 0617,,UFP,PBO
IF-48-04,SABTU,3.0,13:30,TULT 0713,,UFP,PBO
IF-48-05,KAMIS,3.0,12:30,TULT 0705,,NTT,PBO
IF-48-06,SENIN,1.0,06:30,TULT 0712,,UFP,PBO
IF-48-07,SABTU,2.0,10:30,TULT 0713,,EEW,PBO
IF-48-08,RABU,3.0,12:30,TULT 0705,,BTG,PBO
IF-48-09,SABTU,3.0,13:30,TULT 0617,,BTG,PBO
IF-48-10,SENIN,2.0,09:30,TULT 0617,,BTG,PBO
IF-48-11,RABU,4.0,15:30,TULT 0712,,FLN,PBO
IF-48-12,KAMIS,2.0,09:30,TULT 0604,,SHZ,PBO
IF-48-INT,SABTU,2.0,10:30,TULT 0618,,DQU,PBO
SE-47-01,SENIN,4.0,15:30,TULT 0617,,FLF,PPL
