kode_asprak,mk_singkat
FMY,SISOP
FRM,SISOP
FDG,SISOP
GSR,SISOP
HSO,SISOP
KHA,SISOP
LDR,SISOP
LNH,SISOP
MOD,SISOP
MAA,SISOP
MFG,SISOP
MFD,SISOP
MRH,SISOP
MSZ,SISOP
MZF,SISOP
NYZ,SISOP
NIS,SISOP
PUR,SISOP
QDK,SISOP
RDS,SISOP
RAZ,SISOP
RAP,SISOP
RAY,SISOP
RSW,SISOP
RYD,SISOP
RIC,SISOP
ROB,SISOP
STO,SISOP
SAF,SISOP
SUI,SISOP
TNG,SISOP
YJA,SISOP
YDA,SISOP
JOS,STD
MNF,STD
MSQ,STD
MVT,STD
RYD,STD
