mk_singkat,nama_lengkap,program_studi,dosen_koor
ALPRO 1,ALGORITMA DAN PEMROGRAMAN 1,IF,PEY
ALPRO 2,ALGORITMA DAN PEMROGRAMAN 2,IF,SLL
JARKOM,JARINGAN KOMPUTER,IF,FAZ
SISOP,SISTEM OPERASI,IF,MKY
DKA,DASAR KECERDASAN ARTIFISIAL,IF,RSM
PBO,PEMROGRAMAN BERORIENTASI OBJEK,IF,MTD
ALPRO 2,ALGORITMA DAN PEMROGRAMAN 2,IF-PJJ,FSV
JARKOM,JARINGAN KOMPUTER,IF-PJJ,ALH
DKA,DASAR KECERDASAN ARTIFISIAL,IF-PJJ,IZA
PBO,PEMROGRAMAN BERORIENTASI OBJEK,IF-PJJ,UAI
ALPRO SE,ALGORITMA PEMROGRAMAN,SE,IGR
STD,STRUKTUR DATA,SE,IGR
ADPL,ARSITEKTUR DESAIN PERANGKAT LUNAK,SE,DAS
DPBO,DASAR PEMROGRAMAN BERORIENTASI OBJEK ,SE,ZHH
BASDAT,BASIS DATA,SE,JYN
KPL,KONSTRUKSI PERANGKAT LUNAK,SE,FDF
PPL,PENGUJIAN PERANGKAT LUNAK,SE,RSC
SISOP,SISTEM OPERASI,SE,FBW
ALPRO 2,ALGORITMA PEMROGRAMAN,IT,UAI
JARKOM,JARINGAN KOMPUTER,IT,RLG
SISOP,SISTEM OPERASI,IT,FFT
ALPRO 2,ALGORITMA PEMROGRAMAN,DS,IGR
SISOP,SISTEM OPERASI,DS,MKY
