nama_singkat,tahun_ajaran
ADPL,2425-2
ALPRO SE,2425-2
ALPRO 1,2425-2
ALPRO 2,2425-2
BASDAT,2425-2
DKA,2425-2
DPBO,2425-2
JARKOM,2425-2
KPL,2425-2
PBO,2425-2
PPL,2425-2
SISOP,2425-2
STD,2425-2
