kelas,hari,sesi,jam,ruangan,total_asprak,dosen,nama_singkat
IF-48-02,SENIN,1,06:30,TULT 0617,6,QOR,SISOP
IF-49-01,SENIN,1,06:30,TULT 0704,6,PEY,ALPRO 1
IF-48-07,SENIN,2,09:30,TULT 0605,6,FAQ,STD
IF-49-03,SENIN,2,09:30,TULT 0705,6,BMG,ALPRO 1
IF-48-09,SENIN,3,12:30,TULT 0604,6,END,SISOP
IT-47-03,SENIN,3,12:30,TULT 0618,6,TRK,WEBPRO
IF-48-10,SENIN,4,15:30,TULT 0605,6,END,SISOP
DS-48-02,SENIN,4,15:30,TULT 0704,7,MIU,STD
IF-47-GAB01,SENIN,4,15:30,TULT 0712,6,ISB,JARKOM
IF-48-03,SENIN,4,15:30,TULT 0713,6,UFP,STD
IF-48-08,SELASA,1,06:30,TULT 0604,6,FBW,SISOP
IF-48-06,SELASA,1,06:30,TULT 0605,7,UFP,STD
IF-48-12,SELASA,1,06:30,TULT 0617,6,NGS,SISOP
IF-49-09,SELASA,1,06:30,TULT 0618,6,FZD,ALPRO 1
IF-47-GAB04,SELASA,1,06:30,TULT 0713,2,VMD,JARKOM
IF-48-07,SELASA,2,09:30,TULT 0604,6,FBW,SISOP
IF-47-GAB06,SELASA,2,09:30,TULT 0605,6,ISB,JARKOM
IFX-48-GAB,SELASA,2,09:30,TULT 0618,6,UTY,SISOP
IF-48-12,SELASA,2,09:30,TULT 0704,5,DQU,STD
IF-49-05,SELASA,3,12:30,TULT 0617,6,UAI,ALPRO 1
IT-47-04,SELASA,3,12:30,TULT 0618,6,TRK,WEBPRO
SE-49-01,SELASA,3,12:30,TULT 0705,6,ZHH,ALPRO SE
SE-48-02,SELASA,4,15:30,TULT 0604,6,FDF,ADPL
IF-49-08,SELASA,4,15:30,TULT 0605,6,FZD,ALPRO 1
DS-48-03,SELASA,4,15:30,TULT 0617,6,BTG,STD
SE-47-03,SELASA,4,15:30,TULT 0618,5,HPY,WEBPRO
IT-48-03,SELASA,4,15:30,TULT 0705,6,UFP,STD
IF-48-04,RABU,1,06:30,TULT 0604,7,FAQ,STD
IF-47-GAB07,RABU,1,06:30,TULT 0605,5,FAZ,JARKOM
IF-48-INT,RABU,1,06:30,TULT 0618,5,QOR,SISOP
SE-47-04,RABU,1,06:30,TULT 0704,5,HPY,WEBPRO
IF-49-07,RABU,1,06:30,TULT 0705,6,LDS,ALPRO 1
IF-48-08,RABU,2,09:30,TULT 0704,5,ELN,STD
IF-48-05,RABU,3,12:30,TULT 0604,6,RSM,STD
SE-49-04,RABU,3,12:30,TULT 0617,6,MIU,ALPRO SE
IF-49-04,RABU,3,12:30,TULT 0712,6,HMT,ALPRO 1
IF-48-02,RABU,3,12:30,TULT 0713,5,UFP,STD
SE-49-02,RABU,4,15:30,TULT 0605,6,FZD,ALPRO SE
SE-47-02,RABU,4,15:30,TULT 0618,4,VLY,WEBPRO
IF-48-01,RABU,4,15:30,TULT 0704,5,PEY,STD
IT-48-01,RABU,4,15:30,TULT 0617,6,ERNI,STD
IT-48-01,RABU,4,15:30,TULT 0705,3,ERNI,STD
IF-49-02,RABU,4,15:30,TULT 0712,6,BMG,ALPRO 1
IF-48-GABREM,RABU,4,15:30,TULT 0713,6,UAI,ALPRO 2
DS-47-02,KAMIS,1,06:30,TULT 0604,5,SMS,PBO
IF-48-04,KAMIS,1,06:30,TULT 0605,6,QOR,SISOP
SE-47-01,KAMIS,1,06:30,TULT 0618,6,SMS,PPB
IF-49-11,KAMIS,1,06:30,TULT 0705,6,MIU,ALPRO 1
SE-48-01,KAMIS,1,06:30,TULT 0712,7,JYN,STD
SE-48-04,KAMIS,1,06:30,TULT 0713,6,FFS,STD
IF-48-06,KAMIS,2,09:30,TULT 0604,6,FBW,SISOP
IF-47-INT,KAMIS,2,09:30,TULT 0617,3,FFT,JARKOM
SE-47-04,KAMIS,2,09:30,TULT 0618,6,TRK,PPB
IF-48-10,KAMIS,2,09:30,TULT 0705,5,ZHH,STD
IF-48-11,KAMIS,2,09:30,TULT 0713,5,DQU,STD
SE-49-03,KAMIS,3,12:30,TULT 0604,6,IGR,ALPRO SE
IT-48-04,KAMIS,3,12:30,TULT 0704,6,ERNI,STD
IF-49-INT,KAMIS,4,15:30,TULT 0617,6,FFS,ALPRO 1
SE-47-01,KAMIS,4,15:30,TULT 0618,6,VLY,WEBPRO
IF-48-09,KAMIS,4,15:30,TULT 0705,6,ELN,STD
IF-49-10,KAMIS,4,15:30,TULT 0712,6,IGR,ALPRO 1
SE-48-03,KAMIS,4,15:30,TULT 0713,7,JYN,STD
SE-48-02,JUMAT,1,07:30,TULT 0604,5,FLN,STD
IF-48-01,JUMAT,1,07:30,TULT 0605,6,FBW,SISOP
SE-48-03,JUMAT,1,07:30,TULT 0617,6,FLN,ADPL
SE-47-03,JUMAT,1,07:30,TULT 0618,6,SMS,PPB
IF-47-GAB02,JUMAT,1,07:30,TULT 0705,6,FAZ,JARKOM
IT-47-05,JUMAT,1,07:30,TULT 0712,5,MTD,WEBPRO
IT-47-01,JUMAT,1,07:30,TULT 0713,6,MTD,PBO
IT-47-05,JUMAT,3,13:30,TULT 0604,6,TRK,PBO
SE-48-04,JUMAT,3,13:30,TULT 0605,6,FLN,ADPL
IF-48-INT,JUMAT,3,13:30,TULT 0617,5,DQU,STD
IT-47-01,JUMAT,3,13:30,TULT 0618,5,GGM,WEBPRO
IF-47-GAB03,JUMAT,3,13:30,TULT 0712,4,VMD,JARKOM
IT-47-02,JUMAT,3,13:30,TULT 0713,6,DWD,PBO
SE-48-01,SABTU,1,07:30,TULT 0605,6,DAS,ADPL
IF-48-05,SABTU,1,07:30,TULT 0617,6,QOR,SISOP
SE-47-02,SABTU,1,07:30,TULT 0618,6,TRK,PPB
DS-47-03,SABTU,1,07:30,TULT 0712,6,ZHH,PBO
DS-47-01,SABTU,1,07:30,TULT 0713,6,NTT,PBO
IF-49-12,SABTU,2,10:30,TULT 0604,6,JMT,ALPRO 1
IF-48-11,SABTU,2,10:30,TULT 0605,6,AQI,SISOP
IT-47-02,SABTU,2,10:30,TULT 0618,6,GGM,WEBPRO
DS-48-01,SABTU,2,10:30,TULT 0704,6,FZD,STD
IF-47-GAB05,SABTU,2,10:30,TULT 0713,0,ISB,JARKOM
IT-47-04,SABTU,3,13:30,TULT 0604,6,BTG,PBO
IF-48-03,SABTU,3,13:30,TULT 0605,6,QOR,SISOP
IT-48-02,SABTU,3,13:30,TULT 0617,6,IGR,STD
IT-48-05,SABTU,3,13:30,TULT 0618,6,ASA,STD
SE-48-GABREM,SABTU,3,13:30,TULT 0704,3,FFS,ALPRO SE
IF-49-06,SABTU,3,13:30,TULT 0705,6,LDS,ALPRO 1
IT-47-03,SABTU,3,13:30,TULT 0713,6,NTT,PBO
IF-49-01PJJ,SABTU,4,15:30,TULT 0618,4,ALH,ALPRO 1
IF-49-02PJJ,SABTU,4,18:30,TULT 0712,4,IZA,ALPRO 1
IF-49-03PJJ,SABTU,4,18:30,TULT 0604,4,ABK,ALPRO 1
IF-48-01PJJ,SABTU,4,07:30,TULT 0713,4,ABK,STD
IF-48-02PJJ,SABTU,3,11:30,TULT 0605,3,HMT,STD
IF-48-03PJJ,SABTU,3,15:30,TULT 0617,3,HMT,STD
IF-48-01PJJ,SABTU,5,15:30,TULT 0604,5,DVI,SISOP
